"domain","collect","tags_str"
"18imagejuly.bid","1598745600","['spam']"
"18network.in","1598745600","['spam']"
"18news.in","1598745600","['spam']"
"18xu8lgidrbszlx2oxbo.ru.gp","1598745600","['malware']"
"190.red-83-59-43.dynamicip.rima-tde.net","1598745600","['malware']"
"192elywj0hbf.com","1598745600","['spam']"
"193-weightloss.137-health.com-brp.net","1598745600","['malware']"
"196.red-83-44-251.dynamicip.rima-tde.net","1598745600","['malware']"
"196tablets.tk","1598745600","['spam']"
"197.ip-51-91-250.eu","1598745600","['malware']"
"1993gmail.com","1598745600","['spam']"
"1994hotmail.com","1598745600","['spam']"
"19d5.com","1598745600","['spam']"
"19gmail.com","1598745600","['spam']"
"19headreadingstart.us","1598745600","['spam']"
"19ms5nriqheg.biz","1598745600","['spam']"
"1a2n-f9.jp","1598745600","['spam']"
"1august2016ppe.ro.im","1598745600","['spam']"
"1brv65s09t7o.com","1598745600","['spam']"
"1buildyou8.cricket","1598745600","['spam']"
"1c34kj4o7.newness8.club","1598745600","['spam']"
"1c3f6d.api.socdn.com","1598745600","['malware']"
"1cutthey2.cricket","1598745600","['spam']"
"1db-szajmaszk.com","1598745600","['spam']"
"1dcm.com","1598745600","['spam']"
"1dmp.com","1598745600","['spam']"
"1ej19zqtoicw.com","1598745600","['spam']"
"1encouragewhere1.cricket","1598745600","['spam']"
"1fb1cb1j4uhj.com","1598745600","['spam']"
"1fh1rb-66u.com","1598745600","['spam']"
"1foldsomething1.cricket","1598745600","['spam']"
"1fy76th.com","1598745600","['spam']"
"1ge3dymt1go31hctugrzdnco.ourdvsss.com","1598745600","['malware']"
"1geve4i7jjz46r8.com","1598745600","['spam']"
"1glenstreet.cf","1598745600","['spam']"
"1hach.xyz","1598745600","['spam']"
"1hea35122.net","1598745600","['spam']"
"1hot.xyz","1598745600","['spam']"
"1hourpaydaynoteletrack.com","1598745600","['spam']"
"1hourshowerpan.com","1598745600","['spam']"
"1hservice.com","1598745600","['spam']"
"1iii1i11i1ii.com","1598745600","['malware']"
"1ilr.cz.cc","1598745600","['malware']"
"1ink.work","1598745600","['spam']"
"1inki.pro","1598745600","['spam']"
"1j0.ru","1598745600","['spam']"
"1j3.ru","1598745600","['spam']"
"1j4.ru","1598745600","['spam']"
"1j5.ru","1598745600","['spam']"
"1j6.ru","1598745600","['spam']"
"1j8.ru","1598745600","['spam']"
"1j9.ru","1598745600","['spam']"
"1jpa.com","1598745600","['spam']"
"1kbk.com.ua","1598745600","['c2']"
"1leadwho1.cricket","1598745600","['spam']"
"1lookanother7.cricket","1598745600","['spam']"
"1lookthat4.cricket","1598745600","['spam']"
"1m9.ru","1598745600","['spam']"
"1mail.bz","1598745600","['spam']"
"1me5zi5.jp","1598745600","['spam']"
"1milhaodeofertas.com.br","1598745600","['spam']"
"1mt-online.webcindario.com","1598745600","['malware']"
"1nad4.com","1598745600","['spam']"
"1nj3olqsf6d3.com","1598745600","['spam']"
"1nuu5.tk","1598745600","['spam']"
"1nviejfn.com","1598745600","['spam']"
"1nysobvwy4o45mx3.link","1598745600","['spam']"
"1oo7.net","1598745600","['malware']"
"1ooe.com","1598745600","['spam']"
"1ovep1anet.ru","1598745600","['spam']"
"1oveplanet.ru","1598745600","['spam']"
"1p9.ru","1598745600","['spam']"
